timestep	knowledgeState	regulate	budgetRatio	selfQuarantine	shockSize	shockCount	failedBanks	lostCapacity	assortativity	totalCapacity	capacityMultiplier	shockMultiplier	selfQuarantineCostMultiplier
8	imperfect	noRegulate	0.75	quarantine	50	17	68	0.1643	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	18	63	0.1949	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	16	67	0.1941	-0.1939	1144	0.75	0.75	1.0
10	imperfect	noRegulate	0.75	quarantine	50	13	58	0.1932	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	14	65	0.1809	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	8	53	0.1626	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	13	68	0.1766	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	21	67	0.1853	-0.1939	1144	0.75	0.75	1.0
5	imperfect	noRegulate	0.75	quarantine	50	16	56	0.1233	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	20	67	0.1941	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	19	68	0.1932	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	10	62	0.2168	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	14	61	0.1836	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	18	70	0.1722	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	13	64	0.1949	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	11	61	0.1617	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	20	74	0.2089	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	18	70	0.1801	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	13	66	0.1862	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	21	77	0.1809	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	17	61	0.1783	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	10	63	0.1844	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	7	61	0.1923	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	13	60	0.1897	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	22	69	0.1661	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	10	60	0.1477	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	22	73	0.1757	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	13	67	0.1809	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	8	70	0.2045	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	6	63	0.2045	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	19	66	0.1853	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	21	75	0.1914	-0.1939	1144	0.75	0.75	1.0
10	imperfect	noRegulate	0.75	quarantine	50	23	73	0.1783	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	18	73	0.2177	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	12	64	0.1879	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	12	58	0.2177	-0.1939	1144	0.75	0.75	1.0
4	imperfect	noRegulate	0.75	quarantine	50	14	54	0.1381	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	13	66	0.2386	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	17	65	0.1705	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	15	68	0.215	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	14	62	0.1818	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	8	64	0.2115	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	18	69	0.1713	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	16	64	0.1871	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	23	75	0.1871	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	16	69	0.1888	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	14	70	0.201	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	16	68	0.1809	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	19	60	0.1652	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	16	68	0.1958	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	13	72	0.2037	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	11	62	0.1713	-0.1939	1144	0.75	0.75	1.0
10	imperfect	noRegulate	0.75	quarantine	50	15	69	0.2045	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	10	55	0.1941	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	18	63	0.1792	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	9	64	0.2054	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	15	66	0.2063	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	9	67	0.1836	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	12	69	0.1617	-0.1939	1144	0.75	0.75	1.0
5	imperfect	noRegulate	0.75	quarantine	50	11	59	0.2133	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	20	75	0.1967	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	12	67	0.1897	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	23	67	0.1871	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	13	66	0.2089	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	13	65	0.1923	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	15	70	0.1809	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	18	68	0.2142	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	15	59	0.1556	-0.1939	1144	0.75	0.75	1.0
5	imperfect	noRegulate	0.75	quarantine	50	18	63	0.1626	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	13	61	0.1608	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	9	63	0.208	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	18	65	0.2185	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	17	68	0.215	-0.1939	1144	0.75	0.75	1.0
5	imperfect	noRegulate	0.75	quarantine	50	12	61	0.1661	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	17	58	0.1643	-0.1939	1144	0.75	0.75	1.0
4	imperfect	noRegulate	0.75	quarantine	50	15	48	0.1198	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	16	67	0.2019	-0.1939	1144	0.75	0.75	1.0
10	imperfect	noRegulate	0.75	quarantine	50	21	78	0.1914	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	9	52	0.1678	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	23	80	0.208	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	17	62	0.1774	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	16	66	0.2124	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	12	64	0.1888	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	14	70	0.2212	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	11	59	0.1914	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	17	66	0.1984	-0.1939	1144	0.75	0.75	1.0
5	imperfect	noRegulate	0.75	quarantine	50	15	69	0.1792	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	10	59	0.1635	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	19	71	0.1836	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	13	59	0.1871	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	8	65	0.1731	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	16	64	0.1836	-0.1939	1144	0.75	0.75	1.0
6	imperfect	noRegulate	0.75	quarantine	50	16	60	0.1757	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	18	72	0.208	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	13	63	0.1626	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	11	58	0.1643	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	13	65	0.1801	-0.1939	1144	0.75	0.75	1.0
8	imperfect	noRegulate	0.75	quarantine	50	11	63	0.1836	-0.1939	1144	0.75	0.75	1.0
9	imperfect	noRegulate	0.75	quarantine	50	11	65	0.1888	-0.1939	1144	0.75	0.75	1.0
7	imperfect	noRegulate	0.75	quarantine	50	16	61	0.167	-0.1939	1144	0.75	0.75	1.0
